step,loss,lr,mask_entropy,slots_used,recon_min,recon_max,sec_per_step
200,0.2773113588988781,3.145298422880874e-05,1.7907299995422363,6,-0.9356880784034729,0.8637735247612,0.1451087200641632
400,0.08078969584777951,6.18252815715843e-05,1.7901138067245483,6,-1.183539628982544,1.2310951948165894,0.13036831498146056
600,0.06329725461080671,9.114474035911972e-05,1.7906203269958496,6,-1.0946356058120728,1.1608103513717651,0.13194398283958436
800,0.059540762286633256,0.00011943857103200208,1.7912957668304443,6,-1.0896458625793457,1.126667857170105,0.13412010431289673
1000,0.05860742315649986,0.0001467333598388272,1.7916147708892822,6,-1.1249401569366455,1.1137982606887817,0.13487747311592102
1200,0.05808742918074131,0.0001730550822520222,1.7916579246520996,6,-1.1362491846084595,1.0669969320297241,0.13502073287963867
1400,0.056611496042460206,0.00019842911610693518,1.791682481765747,6,-1.0589195489883423,1.1062854528427124,0.13533103227615356
1600,0.05607619799673557,0.00022288025446974072,1.7917165756225586,6,-1.0391229391098022,1.1082377433776855,0.1357557201385498
1800,0.05685121044516563,0.000246432718239602,1.7917206287384033,6,-1.0735350847244263,1.1999189853668213,0.13584908127784728
2000,0.056578554529696706,0.0002691101684904209,1.791743516921997,6,-1.1168104410171509,0.9944692254066467,0.1356772005558014
2200,0.05738419247791171,0.0002909357185574058,1.79173743724823,6,-1.14169442653656,1.028364896774292,0.13579581499099733
2400,0.05645653875544667,0.0003119319458735806,1.7917439937591553,6,-1.1299903392791748,1.0014692544937134,0.1358805477619171
2600,0.05707980850711465,0.00031934702265505973,1.7917401790618896,6,-1.0086913108825684,1.1187622547149658,0.13544034838676453
2800,0.05559024631977081,0.00031386083194948967,1.7917250394821167,6,-1.092721939086914,1.1177809238433838,0.13535316586494445
3000,0.05493961751461029,0.0003084688907165079,1.7917108535766602,6,-1.06075119972229,1.0578571557998657,0.13517269849777222
3200,0.05473109014332295,0.00030316957980658794,1.7907967567443848,6,-1.083375096321106,1.0996299982070923,0.13566826939582824
3400,0.05565344462171197,0.000297961307886223,1.712918996810913,6,-1.1097567081451416,1.0675888061523438,0.13562907457351683
3600,0.0544347938336432,0.0002928425109600635,1.4875123500823975,6,-0.9865789413452148,1.0991947650909424,0.1355131196975708
3800,0.051527185291051866,0.0002878116519012639,0.9546856880187988,6,-1.100276231765747,1.1757757663726807,0.13518535137176513
4000,0.046735605672001836,0.00028286721998989757,0.4419112801551819,6,-1.052690029144287,1.2764884233474731,0.13366883397102355
4200,0.03823051993735135,0.00027800773045930235,0.4605025053024292,6,-1.0908203125,1.024413824081421,0.13270267724990845
4400,0.03231841717846692,0.00027323172405021835,0.301851749420166,6,-1.1044921875,1.0858802795410156,0.1320335102081299
4600,0.028964641410857438,0.00026853776657258645,0.308350145816803,6,-1.1932473182678223,1.09375,0.13191999793052672
4800,0.02788511793129146,0.0002639244484748744,0.28999990224838257,6,-1.19140625,1.1501798629760742,0.1321372663974762
5000,0.025738862240687013,0.0002593903844208013,0.26415398716926575,6,-1.11328125,1.1186058521270752,0.13189834117889404
5200,0.023869956303387882,0.0002549342128733347,0.26807552576065063,6,-1.1201171875,1.0234375,0.13188979148864746
5400,0.02529130187816918,0.00025055459568583323,0.22198817133903503,6,-1.12109375,1.0844861268997192,0.13184918999671935
5600,0.022872668174095452,0.000246250217700214,0.23336075246334076,6,-1.1099482774734497,1.0693351030349731,0.13159274697303772
5800,0.022279104981571436,0.0002420197863520227,0.21504202485084534,6,-1.0501916408538818,1.1064453125,0.13184308648109436
6000,0.02254851447418332,0.00023786203128228875,0.1880682408809662,6,-1.1625802516937256,1.0799412727355957,0.13191113114356995
6200,0.02260980024933815,0.0002337757039560483,0.1823263168334961,6,-1.1767578125,1.0568726062774658,0.13156739473342896
6400,0.0216181161114946,0.00022975957728742078,0.223939448595047,6,-1.0802409648895264,1.0316426753997803,0.13142864346504213
6600,0.021280387565493584,0.00022581244527112676,0.13404515385627747,6,-1.04296875,1.0390344858169556,0.13144647359848022
