step,loss,lr,mask_entropy,slots_used,recon_min,recon_max,sec_per_step
100,0.3379825183749199,3.965835948465939e-06,1.791721224784851,6,-0.0776984766125679,0.03916884586215019,0.15421242952346803
200,0.3266858525574207,7.863246057202185e-06,1.7917062044143677,6,-0.3418958783149719,0.29688185453414917,0.1176234245300293
300,0.2364719371497631,1.16931157818107e-05,1.7913209199905396,6,-1.0345327854156494,0.7142753601074219,0.12111422061920166
400,0.10793583825230599,1.5456320392896074e-05,1.7909433841705322,6,-0.9272333979606628,0.8642625212669373,0.12188634157180786
500,0.08116885602474212,1.9153725085896857e-05,1.7907028198242188,6,-0.9974944591522217,1.0425766706466675,0.12242640256881714
600,0.07464085161685943,2.278618508977993e-05,1.7899373769760132,6,-0.9577789902687073,1.0766725540161133,0.12485331058502197
700,0.0706350525841117,2.6354545774609275e-05,1.7897725105285645,6,-1.0920827388763428,1.1298795938491821,0.12713042497634888
800,0.06672943696379662,2.985964275800052e-05,1.7893480062484741,6,-1.1214830875396729,1.2117255926132202,0.12695228576660156
900,0.06424250893294811,3.330230201047248e-05,1.7890195846557617,6,-1.2370226383209229,1.2399728298187256,0.12796887397766113
1000,0.0626435935497284,3.66833399597068e-05,1.7891557216644287,6,-1.2493681907653809,1.262223720550537,0.12884883403778077
1100,0.06178071707487107,4.000356359372668e-05,1.7888152599334717,6,-1.2236489057540894,1.2433602809906006,0.13005965948104858
1200,0.0590346609801054,4.326377056300555e-05,1.7890889644622803,6,-1.3029295206069946,1.3138254880905151,0.1302705931663513
1300,0.060323784239590166,4.646474928151664e-05,1.789869785308838,6,-1.187636137008667,1.1652551889419556,0.13094976902008057
1400,0.0585122935846448,4.9607279026733794e-05,1.789782166481018,6,-1.1042733192443848,1.1335477828979492,0.13139797925949095
1500,0.05878800567239523,5.2692130038594465e-05,1.7901835441589355,6,-1.1976337432861328,1.124268889427185,0.13183590173721313
1600,0.057205951549112795,5.572006361743518e-05,1.7901862859725952,6,-1.1297810077667236,1.0518683195114136,0.13224427223205568
1700,0.05855092752724886,5.86918322209097e-05,1.7904609441757202,6,-1.188955307006836,1.059050440788269,0.132827467918396
1800,0.05717297177761793,6.16081795599005e-05,1.7905651330947876,6,-1.0809690952301025,1.1845712661743164,0.13290016174316407
1900,0.05711870558559894,6.446984069343333e-05,1.790807843208313,6,-1.0364636182785034,1.1099660396575928,0.13347816467285156
2000,0.056732810512185095,6.727754212260523e-05,1.7911012172698975,6,-1.224388599395752,1.1270239353179932,0.1336276888847351
2100,0.05774797789752483,7.003200188353576e-05,1.7909250259399414,6,-1.11086106300354,1.0626747608184814,0.13408249139785766
2200,0.05711042691022158,7.273392963935144e-05,1.791064739227295,6,-1.2362850904464722,1.1246739625930786,0.13370313882827758
2300,0.05594409476965666,7.538402677121295e-05,1.7911502122879028,6,-1.229803204536438,1.0843709707260132,0.133543918132782
2400,0.05590191204100847,7.798298646839516e-05,1.7911708354949951,6,-1.077253818511963,1.001009225845337,0.1343837285041809
2500,0.056400214545428755,8.053149381742906e-05,1.7912161350250244,6,-1.0858967304229736,1.0190190076828003,0.13497098684310913
2600,0.05625331707298756,7.983675566376493e-05,1.7911845445632935,6,-1.0043233633041382,1.0810234546661377,0.13512543201446534
2700,0.05576773948967457,7.914801095538881e-05,1.7913490533828735,6,-1.1791566610336304,1.077219009399414,0.13575053453445435
2800,0.055018124729394914,7.846520798737242e-05,1.7913037538528442,6,-1.1064181327819824,1.1415128707885742,0.1362155032157898
2900,0.055745198391377926,7.778829550084132e-05,1.7914000749588013,6,-1.1518058776855469,0.9801629185676575,0.13622071504592895
3000,0.05558402810245752,7.711722267912697e-05,1.7913553714752197,6,-1.0243676900863647,1.0538831949234009,0.13585608959197998
3100,0.054257807731628416,7.645193914395174e-05,1.7914177179336548,6,-1.0595074892044067,1.1022316217422485,0.1362527894973755
3200,0.05560448180884123,7.579239495164698e-05,1.7914626598358154,6,-1.1088597774505615,1.0948736667633057,0.1365315580368042
3300,0.05596776098012924,7.513854058940375e-05,1.7915127277374268,6,-1.0310944318771362,1.0521622896194458,0.13612705945968628
3400,0.05474531032145023,7.449032697155575e-05,1.791518211364746,6,-1.1509472131729126,1.05149507522583,0.13606107473373413
3500,0.05458733882755041,7.384770543589443e-05,1.791526198387146,6,-1.0316283702850342,1.0587737560272217,0.13632521390914917
3600,0.05577552359551191,7.321062774001588e-05,1.7915332317352295,6,-1.0676579475402832,1.082080364227295,0.13621249437332153
3700,0.055280208177864554,7.257904605769916e-05,1.7915493249893188,6,-0.9696118235588074,1.0722259283065796,0.13644099950790406
3800,0.05393845375627279,7.195291297531597e-05,1.7915997505187988,6,-1.1466145515441895,1.110872745513916,0.13590286016464234
3900,0.05501282673329115,7.133218148827123e-05,1.7915992736816406,6,-1.042198896408081,1.179067850112915,0.13584339141845703
4000,0.054324171133339406,7.071680499747439e-05,1.7916395664215088,6,-1.1627888679504395,1.1039347648620605,0.13557080507278443
4100,0.053299519754946234,7.010673730584121e-05,1.7916713953018188,6,-1.0022348165512085,1.073749303817749,0.13563378572463988
4200,0.05541588973253966,6.950193261482559e-05,1.7916746139526367,6,-1.0545461177825928,1.0187557935714722,0.13608908653259277
4300,0.0565087328478694,6.890234552098154e-05,1.7916994094848633,6,-1.0637927055358887,1.1620292663574219,0.13581449985504152
4400,0.054354047253727916,6.830793101255459e-05,1.7916933298110962,6,-1.0815863609313965,1.0743980407714844,0.13579301357269288
4500,0.05561462238430977,6.771864446610278e-05,1.79170823097229,6,-1.1090089082717896,1.0927786827087402,0.13604433059692383
4600,0.05349605862051249,6.713444164314661e-05,1.791705846786499,6,-1.0972763299942017,1.0858380794525146,0.1358752989768982
4700,0.0542332699149847,6.655527868684818e-05,1.7917097806930542,6,-0.9764156937599182,1.0988000631332397,0.13581902980804444
4800,0.05495697546750307,6.59811121187186e-05,1.7917060852050781,6,-1.0541412830352783,1.0915158987045288,0.13574551582336425
4900,0.05453437276184559,6.541189883535413e-05,1.791686773300171,6,-1.0920542478561401,1.1040961742401123,0.1351865792274475
5000,0.05396383374929428,6.484759610520033e-05,1.7916537523269653,6,-1.0915228128433228,0.9965371489524841,0.1349707818031311
5100,0.05381975993514061,6.428816156534416e-05,1.7916653156280518,6,-1.041694164276123,1.1184769868850708,0.13483245849609374
5200,0.0554005067422986,6.373355321833367e-05,1.7916417121887207,6,-1.1339231729507446,1.0950736999511719,0.13447288513183595
5300,0.05438824940472841,6.318372942902534e-05,1.7916040420532227,6,-1.0459097623825073,1.017519474029541,0.1347505807876587
5400,0.055400646142661575,6.263864892145831e-05,1.7915745973587036,6,-1.0969196557998657,1.1212581396102905,0.13494247198104858
5500,0.05463485155254602,6.209827077575589e-05,1.7915743589401245,6,-1.1315101385116577,1.0541192293167114,0.1349560284614563
5600,0.053260551393032075,6.15625544250535e-05,1.79154634475708,6,-1.0499831438064575,1.050352931022644,0.13495205879211425
5700,0.053812552206218243,6.103145965245346e-05,1.7914921045303345,6,-1.0432177782058716,1.0474365949630737,0.13513547658920289
5800,0.05432913165539503,6.0504946588005674e-05,1.7914609909057617,6,-1.1307578086853027,1.1264615058898926,0.1349200177192688
5900,0.05419311445206404,5.998297570571465e-05,1.7914507389068604,6,-1.0344154834747314,1.079958438873291,0.13523497819900512
6000,0.05442146759480238,5.946550782057219e-05,1.791382074356079,6,-1.0937366485595703,1.0848329067230225,0.13516885042190552
6100,0.05360598519444466,5.8952504085615725e-05,1.7914636135101318,6,-1.039210557937622,0.9943716526031494,0.13528118371963502
6200,0.05470447719097137,5.8443925989012074e-05,1.791313648223877,6,-1.1237586736679077,1.0301209688186646,0.13507433414459227
6300,0.05332088481634855,5.7939735351166205e-05,1.7913682460784912,6,-1.101694107055664,1.0772225856781006,0.13521864175796508
6400,0.05434019580483437,5.7439894321855195e-05,1.7913410663604736,6,-1.0030362606048584,1.0190316438674927,0.13493792533874513
6500,0.05489122003316879,5.694436537738662e-05,1.7913563251495361,6,-1.102250099182129,1.1519198417663574,0.13505393266677856
6600,0.05357213132083416,5.645311131778169e-05,1.7913182973861694,6,-1.1149215698242188,1.0998972654342651,0.1346978521347046
6700,0.05286006845533848,5.596609526398259e-05,1.7912640571594238,6,-1.0725473165512085,1.1600955724716187,0.134317262172699
6800,0.05294629633426666,5.548328065508388e-05,1.7912876605987549,6,-1.095970630645752,1.1231749057769775,0.134652955532074
6900,0.05322794601321221,5.50046312455879e-05,1.7912931442260742,6,-1.0803178548812866,1.0704797506332397,0.13443930625915526
7000,0.05367340713739395,5.45301111026837e-05,1.7912713289260864,6,-1.0691864490509033,1.044412612915039,0.13482975959777832
7100,0.053906645849347117,5.405968460354952e-05,1.7911499738693237,6,-1.130871295928955,1.0416035652160645,0.13493629932403564
7200,0.05473276324570179,5.359331643267863e-05,1.791214942932129,6,-1.1054139137268066,1.0554832220077515,0.13467222929000855
7300,0.053020009547472,5.313097157922804e-05,1.7912883758544922,6,-0.9747660160064697,1.0316967964172363,0.13478211879730226
7400,0.052804119884967804,5.267261533439025e-05,1.791297197341919,6,-1.0525736808776855,1.0426092147827148,0.13484325647354126
7500,0.05258997701108456,5.221821328878762e-05,1.7912906408309937,6,-1.0800219774246216,0.987188994884491,0.13514532566070556
7600,0.05261521853506565,5.176773132988919e-05,1.791236400604248,6,-1.0658953189849854,1.1049710512161255,0.135173499584198
7700,0.051469795405864716,5.132113563944984e-05,1.7912579774856567,6,-1.052648663520813,1.0629750490188599,0.13485303163528442
7800,0.05235037859529257,5.0878392690971445e-05,1.7912625074386597,6,-1.05998957157135,0.9441313743591309,0.1349686574935913
7900,0.052655117586255074,5.04394692471861e-05,1.7912001609802246,6,-1.0949082374572754,1.127722144126892,0.13429819345474242
8000,0.05251214817166328,5.000433235756088e-05,1.791245698928833,6,-1.0648472309112549,1.0641000270843506,0.13398484468460084
8100,0.05286227632313967,4.9572949355824225e-05,1.7911258935928345,6,-1.0133943557739258,1.0682244300842285,0.13398168325424195
8200,0.05334465458989143,4.914528785751365e-05,1.7911473512649536,6,-1.1221230030059814,1.118252158164978,0.13374562740325927
8300,0.05285867489874363,4.872131575754459e-05,1.791100025177002,6,-1.0566742420196533,1.001549482345581,0.1342945885658264
8400,0.052496874220669267,4.830100122780023e-05,1.791024088859558,6,-1.0664281845092773,1.0513468980789185,0.13477462768554688
8500,0.050932034291327,4.788431271474214e-05,1.7911350727081299,6,-1.115327000617981,1.0605541467666626,0.1353504991531372
